Country, Variable, Unit, Symbol, "2020"
Comoros, SDG 6.4.1. Services Water Use Efficiency, US$/m3, E, 126.11
Comoros, SDG 6.4.1. Water Use Efficiency, US$/m3, I, 70.04
Comoros, SDG 6.4.2. Water Stress, %, I, 0.83
Comoros, Total freshwater withdrawal, 10^9 m3/year, I, 0.01
Comoros, Total water withdrawal, 10^9 m3/year, I, 0.01
Comoros, Total water withdrawal per capita, m3/inhab/year, E, 11.5
Congo, Agricultural water withdrawal, 10^9 m3/year, I, 
Congo, Agricultural water withdrawal as % of total renewable water resources, %, I, 
Congo, Agricultural water withdrawal as % of total water withdrawal, %, E, 4.36
Congo, Environmental Flow Requirements, 10^9 m3/year, I, 664.4
Congo, Fresh groundwater withdrawal, 10^9 m3/year, I, 0.02
Congo, Fresh surface water withdrawal, 10^9 m3/year, I, 0.02
Congo, Industrial water withdrawal, 10^9 m3/year, I, 0.02
Congo, Industrial water withdrawal as % of total water withdrawal, %, E, 26.17
Congo, Irrigation water requirement, 10^9 m3/year, I, 
Congo, MDG 7.5. Freshwater withdrawal as % of total renewable water resources, %, I, 0.01
Congo, Municipal water withdrawal, 10^9 m3/year, I, 0.06
Congo, Municipal water withdrawal as % of total withdrawal, %, E, 69.47
Congo, SDG 6.4.1. Industrial Water Use Efficiency, US$/m3, E, 160.9
Congo, SDG 6.4.1. Irrigated Agriculture Water Use Efficiency, US$/m3, E, 0.18
Congo, SDG 6.4.1. Services Water Use Efficiency, US$/m3, E, 60.81
Congo, SDG 6.4.1. Water Use Efficiency, US$/m3, I, 84.36
Congo, SDG 6.4.2. Water Stress, %, E, 0.03
Congo, Total freshwater withdrawal, 10^9 m3/year, I, 0.05
Congo, Total water withdrawal, 10^9 m3/year, E, 0.09
Congo, Total water withdrawal per capita, m3/inhab/year, E, 16.62
Congo, Treated municipal wastewater, 10^9 m3/year, I, 
Costa Rica, Agricultural water withdrawal, 10^9 m3/year, , 2.08
Costa Rica, Agricultural water withdrawal as % of total renewable water resources, %, E, 1.84
Costa Rica, Agricultural water withdrawal as % of total water withdrawal, %, E, 66.17
Costa Rica, Capacity of the municipal wastewater treatment facilities, 10^9 m3/year, I, 0.1
Costa Rica, Collected municipal wastewater, 10^9 m3/year, I, 0.08
Costa Rica, Desalinated water produced, 10^9 m3/year, I, 
Costa Rica, Environmental Flow Requirements, 10^9 m3/year, I, 54.4
Costa Rica, Fresh groundwater withdrawal, 10^9 m3/year, , 0.41
Costa Rica, Fresh surface water withdrawal, 10^9 m3/year, , 2.73
Costa Rica, Industrial water withdrawal, 10^9 m3/year, , 0.23
Costa Rica, Industrial water withdrawal as % of total water withdrawal, %, E, 7.42
Costa Rica, Irrigation water withdrawal, 10^9 m3/year, , 2.01
Costa Rica, MDG 7.5. Freshwater withdrawal as % of total renewable water resources, %, E, 2.78
Costa Rica, Municipal water withdrawal, 10^9 m3/year, , 0.83
Costa Rica, Municipal water withdrawal as % of total withdrawal, %, E, 26.41
Costa Rica, Not treated municipal wastewater, 10^9 m3/year, I, 0.27
Costa Rica, Produced municipal wastewater, 10^9 m3/year, I, 0.31
Costa Rica, SDG 6.4.1. Industrial Water Use Efficiency, US$/m3, E, 44.24
Costa Rica, SDG 6.4.1. Irrigated Agriculture Water Use Efficiency, US$/m3, E, 0.42
Costa Rica, SDG 6.4.1. Services Water Use Efficiency, US$/m3, E, 52.74
Costa Rica, SDG 6.4.1. Water Use Efficiency, US$/m3, E, 17.49
Costa Rica, SDG 6.4.2. Water Stress, %, E, 5.35
Costa Rica, Total freshwater withdrawal, 10^9 m3/year, , 3.14
Costa Rica, Total water withdrawal, 10^9 m3/year, , 3.14
Costa Rica, Total water withdrawal per capita, m3/inhab/year, E, 615.63
Costa Rica, Treated municipal wastewater, 10^9 m3/year, I, 0.05
Costa Rica, Water withdrawal for livestock (watering and cleaning), 10^9 m3/year, I, 0.22
Croatia, Agricultural water withdrawal, 10^9 m3/year, , 0.08
Croatia, Agricultural water withdrawal as % of total renewable water resources, %, I, 0.07
Croatia, Agricultural water withdrawal as % of total water withdrawal, %, E, 6.18
Croatia, Collected municipal wastewater, 10^9 m3/year, , 0.36
Croatia, Direct use of agricultural drainage water, 10^9 m3/year, I, 
Croatia, Direct use of treated municipal wastewater, 10^9 m3/year, I, 
Croatia, Direct use of treated municipal wastewater for irrigation purposes, 10^9 m3/year, I, 
Croatia, Environmental Flow Requirements, 10^9 m3/year, I, 60.52
Croatia, Fresh groundwater withdrawal, 10^9 m3/year, , 0.42
Croatia, Fresh surface water withdrawal, 10^9 m3/year, , 0.24
Croatia, Industrial water withdrawal, 10^9 m3/year, , 0.7
Croatia, Industrial water withdrawal as % of total water withdrawal, %, E, 56.71
Croatia, Irrigation water withdrawal, 10^9 m3/year, , 0.03
Croatia, MDG 7.5. Freshwater withdrawal as % of total renewable water resources, %, E, 0.63
Croatia, Municipal water withdrawal, 10^9 m3/year, , 0.46
Croatia, Municipal water withdrawal as % of total withdrawal, %, E, 37.1
Croatia, Not treated municipal wastewater, 10^9 m3/year, I, 0.1
Croatia, Not treated municipal wastewater discharged (secondary water), 10^9 m3/year, I, 0.13
Croatia, Number of municipal wastewater treatment facilities, , I, 112
Croatia, Produced municipal wastewater, 10^9 m3/year, , 0.36
Croatia, SDG 6.4.1. Industrial Water Use Efficiency, US$/m3, E, 13.22
Croatia, SDG 6.4.1. Irrigated Agriculture Water Use Efficiency, US$/m3, E, 0.68
Croatia, SDG 6.4.1. Services Water Use Efficiency, US$/m3, E, 72.58
Croatia, SDG 6.4.1. Water Use Efficiency, US$/m3, I, 34.47
Croatia, SDG 6.4.2. Water Stress, %, E, 1.48
Croatia, Total freshwater withdrawal, 10^9 m3/year, , 0.67
Croatia, Total water withdrawal, 10^9 m3/year, , 1.23
Croatia, Total water withdrawal per capita, m3/inhab/year, E, 299.37
Croatia, Treated municipal wastewater, 10^9 m3/year, , 0.3
Croatia, Treated municipal wastewater discharged (secondary water), 10^9 m3/year, I, 0.21
Croatia, Water withdrawal for aquaculture, 10^9 m3/year, I, 
Croatia, Water withdrawal for cooling of thermoelectric plants, 10^9 m3/year, , 0.1
Croatia, Water withdrawal for livestock (watering and cleaning), 10^9 m3/year, , 0.05
Cuba, Agricultural water withdrawal, 10^9 m3/year, I, 4.52
Cuba, Agricultural water withdrawal as % of total renewable water resources, %, I, 11.85
Cuba, Agricultural water withdrawal as % of total water withdrawal, %, I, 64.94
Cuba, Collected municipal wastewater, 10^9 m3/year, I, 0.72
Cuba, Desalinated water produced, 10^9 m3/year, I, 
Cuba, Environmental Flow Requirements, 10^9 m3/year, I, 9.05
Cuba, Fresh groundwater withdrawal, 10^9 m3/year, I, 2.64
Cuba, Fresh surface water withdrawal, 10^9 m3/year, I, 4.31
Cuba, Industrial water withdrawal, 10^9 m3/year, I, 0.74
Cuba, Industrial water withdrawal as % of total water withdrawal, %, I, 10.63
Cuba, Irrigation water requirement, 10^9 m3/year, I, 0.69
Cuba, MDG 7.5. Freshwater withdrawal as % of total renewable water resources, %, I, 18.25
Cuba, Municipal water withdrawal, 10^9 m3/year, I, 1.7
Cuba, Municipal water withdrawal as % of total withdrawal, %, I, 24.43
Cuba, Not treated municipal wastewater, 10^9 m3/year, I, 0.39
Cuba, Number of municipal wastewater treatment facilities, , I, 8
Cuba, Produced municipal wastewater, 10^9 m3/year, I, 0.84
Cuba, SDG 6.4.1. Industrial Water Use Efficiency, US$/m3, E, 25.27
Cuba, SDG 6.4.1. Irrigated Agriculture Water Use Efficiency, US$/m3, E, 0.17
Cuba, SDG 6.4.1. Services Water Use Efficiency, US$/m3, E, 34.34
Cuba, SDG 6.4.1. Water Use Efficiency, US$/m3, I, 11.19
Cuba, SDG 6.4.2. Water Stress, %, E, 23.94
Cuba, Total freshwater withdrawal, 10^9 m3/year, I, 6.96
Cuba, Total water withdrawal, 10^9 m3/year, I, 6.96
Cuba, Total water withdrawal per capita, m3/inhab/year, E, 614.39
Cuba, Treated municipal wastewater, 10^9 m3/year, I, 0.22
Cyprus, Agricultural water withdrawal, 10^9 m3/year, , 0.17
Cyprus, Agricultural water withdrawal as % of total renewable water resources, %, E, 22.05
Cyprus, Agricultural water withdrawal as % of total water withdrawal, %, E, 62.55
Cyprus, Area equipped for irrigation by direct use of treated municipal wastewater, 1000 ha, I, 38.2
Cyprus, Capacity of the municipal wastewater treatment facilities, 10^9 m3/year, I, 0.05
Cyprus, Collected municipal wastewater, 10^9 m3/year, , 0.04
Cyprus, Desalinated water produced, 10^9 m3/year, I, 0.03
Cyprus, Direct use of treated municipal wastewater, 10^9 m3/year, I, 0.01
Cyprus, Direct use of treated municipal wastewater for irrigation purposes, 10^9 m3/year, I, 0.02
Cyprus, Environmental Flow Requirements, 10^9 m3/year, I, 0.05
Cyprus, Fresh groundwater withdrawal, 10^9 m3/year, I, 0.16
Cyprus, Fresh surface water withdrawal, 10^9 m3/year, I, 0.11
Cyprus, Industrial water withdrawal, 10^9 m3/year, I, 0.02
Cyprus, Industrial water withdrawal as % of total water withdrawal, %, E, 6.18
Cyprus, Irrigation water requirement, 10^9 m3/year, I, 0.09
Cyprus, Irrigation water withdrawal, 10^9 m3/year, , 0.17
Cyprus, MDG 7.5. Freshwater withdrawal as % of total renewable water resources, %, E, 35.26
Cyprus, Municipal water withdrawal, 10^9 m3/year, , 0.1
Cyprus, Municipal water withdrawal as % of total withdrawal, %, E, 37.45
Cyprus, Not treated municipal wastewater, 10^9 m3/year, I, 
Cyprus, Number of municipal wastewater treatment facilities, , I, 35
Cyprus, Produced municipal wastewater, 10^9 m3/year, , 0.04
Cyprus, SDG 6.4.1. Industrial Water Use Efficiency, US$/m3, E, 153.5
Cyprus, SDG 6.4.1. Irrigated Agriculture Water Use Efficiency, US$/m3, E, 0.8
Cyprus, SDG 6.4.1. Services Water Use Efficiency, US$/m3, E, 173.41
Cyprus, SDG 6.4.1. Water Use Efficiency, US$/m3, I, 74.94
Cyprus, SDG 6.4.2. Water Stress, %, E, 37.59
Cyprus, Total freshwater withdrawal, 10^9 m3/year, E, 0.28
Cyprus, Total water withdrawal, 10^9 m3/year, , 0.28
Cyprus, Total water withdrawal per capita, m3/inhab/year, E, 227.77
Cyprus, Treated municipal wastewater, 10^9 m3/year, , 0.04
Cyprus, Treated municipal wastewater discharged (secondary water), 10^9 m3/year, I, 
Cyprus, Water withdrawal for livestock (watering and cleaning), 10^9 m3/year, , 
Czechia, Agricultural water withdrawal, 10^9 m3/year, , 0.04
Czechia, Agricultural water withdrawal as % of total renewable water resources, %, E, 0.3
Czechia, Agricultural water withdrawal as % of total water withdrawal, %, E, 2.86
Czechia, Capacity of the municipal wastewater treatment facilities, 10^9 m3/year, I, 1.39
Czechia, Collected municipal wastewater, 10^9 m3/year, I, 0.32
Czechia, Desalinated water produced, 10^9 m3/year, I, 
Czechia, Environmental Flow Requirements, 10^9 m3/year, I, 6.57
Czechia, Fresh groundwater withdrawal, 10^9 m3/year, , 0.35
Czechia, Fresh surface water withdrawal, 10^9 m3/year, , 1.01
Czechia, Industrial water withdrawal, 10^9 m3/year, , 0.7
Czechia, Industrial water withdrawal as % of total water withdrawal, %, E, 51.1
Czechia, Irrigation water requirement, 10^9 m3/year, I, 
Czechia, Irrigation water withdrawal, 10^9 m3/year, , 0.02
Czechia, MDG 7.5. Freshwater withdrawal as % of total renewable water resources, %, E, 10.39
Czechia, Municipal water withdrawal, 10^9 m3/year, , 0.63
Czechia, Municipal water withdrawal as % of total withdrawal, %, E, 46.05
Czechia, Number of municipal wastewater treatment facilities, , I, 2636
Czechia, Produced municipal wastewater, 10^9 m3/year, , 0.89
Czechia, SDG 6.4.1. Industrial Water Use Efficiency, US$/m3, E, 80.01
Czechia, SDG 6.4.1. Irrigated Agriculture Water Use Efficiency, US$/m3, E, 1.53
Czechia, SDG 6.4.1. Services Water Use Efficiency, US$/m3, E, 198.81
Czechia, SDG 6.4.1. Water Use Efficiency, US$/m3, I, 132.47
Czechia, SDG 6.4.2. Water Stress, %, E, 20.77
Czechia, Total freshwater withdrawal, 10^9 m3/year, , 1.37
Czechia, Total water withdrawal, 10^9 m3/year, , 1.37
Czechia, Total water withdrawal per capita, m3/inhab/year, E, 127.56
Czechia, Treated municipal wastewater, 10^9 m3/year, , 0.87
Czechia, Water withdrawal for aquaculture, 10^9 m3/year, I, 0.01
Czechia, Water withdrawal for cooling of thermoelectric plants, 10^9 m3/year, , 0.32
Côte d'Ivoire, Agricultural water withdrawal, 10^9 m3/year, I, 0.6
Côte d'Ivoire, Agricultural water withdrawal as % of total renewable water resources, %, I, 0.71
Côte d'Ivoire, Agricultural water withdrawal as % of total water withdrawal, %, I, 51.64
Côte d'Ivoire, Environmental Flow Requirements, 10^9 m3/year, I, 61.3
Côte d'Ivoire, Industrial water withdrawal, 10^9 m3/year, I, 0.24
Côte d'Ivoire, Industrial water withdrawal as % of total water withdrawal, %, I, 20.83
Côte d'Ivoire, Irrigation water requirement, 10^9 m3/year, I, 0.14
Côte d'Ivoire, Irrigation water withdrawal, 10^9 m3/year, I, 0.6
Côte d'Ivoire, MDG 7.5. Freshwater withdrawal as % of total renewable water resources, %, I, 1.38
Côte d'Ivoire, Municipal water withdrawal, 10^9 m3/year, I, 0.32
Côte d'Ivoire, Municipal water withdrawal as % of total withdrawal, %, I, 27.54
Côte d'Ivoire, SDG 6.4.1. Industrial Water Use Efficiency, US$/m3, E, 45.89
Côte d'Ivoire, SDG 6.4.1. Irrigated Agriculture Water Use Efficiency, US$/m3, E, 0.32
Côte d'Ivoire, SDG 6.4.1. Services Water Use Efficiency, US$/m3, E, 104.55
Côte d'Ivoire, SDG 6.4.1. Water Use Efficiency, US$/m3, E, 38.51
Côte d'Ivoire, SDG 6.4.2. Water Stress, %, E, 5.09
Côte d'Ivoire, Total freshwater withdrawal, 10^9 m3/year, I, 1.16
Côte d'Ivoire, Total water withdrawal, 10^9 m3/year, I, 1.16
Côte d'Ivoire, Total water withdrawal per capita, m3/inhab/year, E, 44.05
Côte d'Ivoire, Treated municipal wastewater, 10^9 m3/year, I, 
Democratic People's Republic of Korea, Agricultural water withdrawal, 10^9 m3/year, I, 6.61
Democratic People's Republic of Korea, Agricultural water withdrawal as % of total renewable water resources, %, I, 8.57
Democratic People's Republic of Korea, Agricultural water withdrawal as % of total water withdrawal, %, I, 76.35
Democratic People's Republic of Korea, Environmental Flow Requirements, 10^9 m3/year, I, 45.94
Democratic People's Republic of Korea, Industrial water withdrawal, 10^9 m3/year, I, 1.15
Democratic People's Republic of Korea, Industrial water withdrawal as % of total water withdrawal, %, I, 13.23
Democratic People's Republic of Korea, Irrigation water requirement, 10^9 m3/year, I, 3.02
Democratic People's Republic of Korea, MDG 7.5. Freshwater withdrawal as % of total renewable water resources, %, I, 11.22
Democratic People's Republic of Korea, Municipal water withdrawal, 10^9 m3/year, I, 0.9
Democratic People's Republic of Korea, Municipal water withdrawal as % of total withdrawal, %, I, 10.43
Democratic People's Republic of Korea, SDG 6.4.1. Industrial Water Use Efficiency, US$/m3, E, 5
Democratic People's Republic of Korea, SDG 6.4.1. Irrigated Agriculture Water Use Efficiency, US$/m3, E, 0.33
Democratic People's Republic of Korea, SDG 6.4.1. Services Water Use Efficiency, US$/m3, E, 6.55
Democratic People's Republic of Korea, SDG 6.4.1. Water Use Efficiency, US$/m3, I, 1.6
Democratic People's Republic of Korea, SDG 6.4.2. Water Stress, %, E, 27.74
Democratic People's Republic of Korea, Total freshwater withdrawal, 10^9 m3/year, I, 8.66
Democratic People's Republic of Korea, Total water withdrawal, 10^9 m3/year, I, 8.66
Democratic People's Republic of Korea, Total water withdrawal per capita, m3/inhab/year, E, 335.85
Democratic Republic of the Congo, Agricultural water withdrawal, 10^9 m3/year, I, 0.07
Democratic Republic of the Congo, Agricultural water withdrawal as % of total renewable water resources, %, I, 0.01
Democratic Republic of the Congo, Agricultural water withdrawal as % of total water withdrawal, %, I, 10.52
Democratic Republic of the Congo, Environmental Flow Requirements, 10^9 m3/year, I, 981.7
Democratic Republic of the Congo, Industrial water withdrawal, 10^9 m3/year, I, 0.15
Democratic Republic of the Congo, Industrial water withdrawal as % of total water withdrawal, %, I, 21.47
Democratic Republic of the Congo, Irrigation water requirement, 10^9 m3/year, I, 0.02
Democratic Republic of the Congo, Irrigation water withdrawal, 10^9 m3/year, I, 0.07
Democratic Republic of the Congo, MDG 7.5. Freshwater withdrawal as % of total renewable water resources, %, I, 0.05
Democratic Republic of the Congo, Municipal water withdrawal, 10^9 m3/year, I, 0.46
Democratic Republic of the Congo, Municipal water withdrawal as % of total withdrawal, %, I, 68.01
Democratic Republic of the Congo, SDG 6.4.1. Industrial Water Use Efficiency, US$/m3, E, 107.24
Democratic Republic of the Congo, SDG 6.4.1. Irrigated Agriculture Water Use Efficiency, US$/m3, E, 0.42
Democratic Republic of the Congo, SDG 6.4.1. Services Water Use Efficiency, US$/m3, E, 40.81
Democratic Republic of the Congo, SDG 6.4.1. Water Use Efficiency, US$/m3, I, 50.83
Democratic Republic of the Congo, SDG 6.4.2. Water Stress, %, E, 0.23
Democratic Republic of the Congo, Total freshwater withdrawal, 10^9 m3/year, I, 0.68
Democratic Republic of the Congo, Total water withdrawal, 10^9 m3/year, I, 0.68
Democratic Republic of the Congo, Total water withdrawal per capita, m3/inhab/year, E, 7.63
Denmark, Agricultural water withdrawal, 10^9 m3/year, , 0.53
Denmark, Agricultural water withdrawal as % of total renewable water resources, %, E, 8.79
Denmark, Agricultural water withdrawal as % of total water withdrawal, %, E, 54.01
Denmark, Capacity of the municipal wastewater treatment facilities, 10^9 m3/year, I, 0.8
Denmark, Collected municipal wastewater, 10^9 m3/year, , 0.36
Denmark, Desalinated water produced, 10^9 m3/year, , 
Denmark, Direct use of agricultural drainage water, 10^9 m3/year, , 
Denmark, Direct use of treated municipal wastewater, 10^9 m3/year, , 
Denmark, Direct use of treated municipal wastewater, 10^9 m3/year, E, 
Denmark, Direct use of treated municipal wastewater for irrigation purposes, 10^9 m3/year, I, 
Denmark, Environmental Flow Requirements, 10^9 m3/year, I, 2.3
Denmark, Fresh groundwater withdrawal, 10^9 m3/year, , 0.76
Denmark, Fresh surface water withdrawal, 10^9 m3/year, , 0.21
Denmark, Industrial water withdrawal, 10^9 m3/year, , 0.05
Denmark, Industrial water withdrawal as % of total water withdrawal, %, E, 5.02
Denmark, Irrigation water requirement, 10^9 m3/year, I, 0.05
Denmark, Irrigation water withdrawal, 10^9 m3/year, , 0.27
Denmark, MDG 7.5. Freshwater withdrawal as % of total renewable water resources, %, E, 16.27
Denmark, Municipal water withdrawal, 10^9 m3/year, , 0.4
Denmark, Municipal water withdrawal as % of total withdrawal, %, E, 40.98
Denmark, Number of municipal wastewater treatment facilities, , I, 906
Denmark, Produced municipal wastewater, 10^9 m3/year, , 0.36
Denmark, SDG 6.4.1. Industrial Water Use Efficiency, US$/m3, E, 1320.4
Denmark, SDG 6.4.1. Irrigated Agriculture Water Use Efficiency, US$/m3, E, 1.32
Denmark, SDG 6.4.1. Services Water Use Efficiency, US$/m3, E, 540.49
Denmark, SDG 6.4.1. Water Use Efficiency, US$/m3, I, 288.42
Denmark, SDG 6.4.2. Water Stress, %, E, 26.4
Denmark, Total freshwater withdrawal, 10^9 m3/year, , 0.98
Denmark, Total water withdrawal, 10^9 m3/year, , 0.98
Denmark, Total water withdrawal per capita, m3/inhab/year, E, 168.58
Denmark, Treated municipal wastewater, 10^9 m3/year, , 0.36
Denmark, Water withdrawal for aquaculture, 10^9 m3/year, , 0.26
Denmark, Water withdrawal for cooling of thermoelectric plants, 10^9 m3/year, I, 
Djibouti, Agricultural water withdrawal, 10^9 m3/year, I, 
Djibouti, Agricultural water withdrawal as % of total renewable water resources, %, I, 1
Djibouti, Agricultural water withdrawal as % of total water withdrawal, %, I, 15.79
Djibouti, Desalinated water produced, 10^9 m3/year, I, 
Djibouti, Direct use of treated municipal wastewater, 10^9 m3/year, I, 
Djibouti, Direct use of treated municipal wastewater for irrigation purposes, 10^9 m3/year, I, 
Djibouti, Fresh groundwater withdrawal, 10^9 m3/year, I, 0.02
Djibouti, Fresh surface water withdrawal, 10^9 m3/year, I, 
Djibouti, Industrial water withdrawal, 10^9 m3/year, I, 
Djibouti, Industrial water withdrawal as % of total water withdrawal, %, I, 
Djibouti, Irrigation water requirement, 10^9 m3/year, I, 
Djibouti, Irrigation water withdrawal, 10^9 m3/year, I, 
Djibouti, MDG 7.5. Freshwater withdrawal as % of total renewable water resources, %, I, 6.33
Djibouti, Municipal water withdrawal, 10^9 m3/year, I, 0.02
Djibouti, Municipal water withdrawal as % of total withdrawal, %, I, 84.21
Djibouti, SDG 6.4.1. Irrigated Agriculture Water Use Efficiency, US$/m3, E, 13.73
Djibouti, SDG 6.4.1. Services Water Use Efficiency, US$/m3, E, 169.97
Djibouti, SDG 6.4.2. Water Stress, %, I, 6.33
Djibouti, Total freshwater withdrawal, 10^9 m3/year, I, 0.02
Djibouti, Total water withdrawal, 10^9 m3/year, I, 0.02
Djibouti, Total water withdrawal per capita, m3/inhab/year, E, 19.23
Djibouti, Water withdrawal for livestock (watering and cleaning), 10^9 m3/year, I, 
Dominica, Agricultural water withdrawal, 10^9 m3/year, I, 
Dominica, Agricultural water withdrawal as % of total renewable water resources, %, I, 0.5
Dominica, Agricultural water withdrawal as % of total water withdrawal, %, I, 5
Dominica, Fresh groundwater withdrawal, 10^9 m3/year, I, 
Dominica, Fresh surface water withdrawal, 10^9 m3/year, I, 0.02
Dominica, Industrial water withdrawal, 10^9 m3/year, I, 
Dominica, Industrial water withdrawal as % of total water withdrawal, %, I, 
Dominica, MDG 7.5. Freshwater withdrawal as % of total renewable water resources, %, I, 10
Dominica, Municipal water withdrawal, 10^9 m3/year, I, 0.02
Dominica, Municipal water withdrawal as % of total withdrawal, %, I, 95
Dominica, SDG 6.4.1. Irrigated Agriculture Water Use Efficiency, US$/m3, E, 
Dominica, SDG 6.4.1. Services Water Use Efficiency, US$/m3, E, 15.49
Dominica, SDG 6.4.2. Water Stress, %, I, 10
Dominica, Total freshwater withdrawal, 10^9 m3/year, I, 0.02
Dominica, Total water withdrawal, 10^9 m3/year, I, 0.02
Dominica, Total water withdrawal per capita, m3/inhab/year, E, 277.83
Dominican Republic, Agricultural water withdrawal, 10^9 m3/year, I, 7.56
Dominican Republic, Agricultural water withdrawal as % of total renewable water resources, %, I, 32.18
Dominican Republic, Agricultural water withdrawal as % of total water withdrawal, %, E, 83.31
Dominican Republic, Collected municipal wastewater, 10^9 m3/year, , 0.23
Dominican Republic, Environmental Flow Requirements, 10^9 m3/year, I, 5.46
Dominican Republic, Fresh groundwater withdrawal, 10^9 m3/year, I, 0.39
Dominican Republic, Industrial water withdrawal, 10^9 m3/year, I, 0.66
Dominican Republic, Industrial water withdrawal as % of total water withdrawal, %, E, 7.27
Dominican Republic, Irrigation water requirement, 10^9 m3/year, I, 1.14
Dominican Republic, Irrigation water withdrawal, 10^9 m3/year, , 5.26
Dominican Republic, MDG 7.5. Freshwater withdrawal as % of total renewable water resources, %, I, 30.37
Dominican Republic, Municipal water withdrawal, 10^9 m3/year, I, 0.85
Dominican Republic, Municipal water withdrawal as % of total withdrawal, %, E, 9.42
Dominican Republic, Not treated municipal wastewater, 10^9 m3/year, I, 0.42
Dominican Republic, Number of municipal wastewater treatment facilities, , I, 91
Dominican Republic, Produced municipal wastewater, 10^9 m3/year, , 0.94
Dominican Republic, SDG 6.4.1. Industrial Water Use Efficiency, US$/m3, E, 36.2
Dominican Republic, SDG 6.4.1. Irrigated Agriculture Water Use Efficiency, US$/m3, E, 0.22
Dominican Republic, SDG 6.4.1. Services Water Use Efficiency, US$/m3, E, 57.27
Dominican Republic, SDG 6.4.1. Water Use Efficiency, US$/m3, I, 8.2
Dominican Republic, SDG 6.4.2. Water Stress, %, E, 39.55
Dominican Republic, Total freshwater withdrawal, 10^9 m3/year, E, 7.14
Dominican Republic, Total water withdrawal, 10^9 m3/year, E, 9.08
Dominican Republic, Total water withdrawal per capita, m3/inhab/year, E, 836.83
Dominican Republic, Treated municipal wastewater, 10^9 m3/year, , 0.08
Dominican Republic, Water withdrawal for livestock (watering and cleaning), 10^9 m3/year, I, 1.13
Ecuador, Agricultural water withdrawal, 10^9 m3/year, I, 8.08
Ecuador, Agricultural water withdrawal as % of total renewable water resources, %, I, 1.83
Ecuador, Agricultural water withdrawal as % of total water withdrawal, %, I, 81.43
Ecuador, Area equipped for irrigation by direct use of treated municipal wastewater, 1000 ha, I, 0.08
Ecuador, Desalinated water produced, 10^9 m3/year, I, 
Ecuador, Environmental Flow Requirements, 10^9 m3/year, I, 296.2
Ecuador, Industrial water withdrawal, 10^9 m3/year, I, 0.55
Ecuador, Industrial water withdrawal as % of total water withdrawal, %, I, 5.54
Ecuador, Irrigation water requirement, 10^9 m3/year, I, 3.13
Ecuador, Irrigation water withdrawal, 10^9 m3/year, I, 8.08
Ecuador, MDG 7.5. Freshwater withdrawal as % of total renewable water resources, %, I, 2.24
Ecuador, Municipal water withdrawal, 10^9 m3/year, I, 1.29
Ecuador, Municipal water withdrawal as % of total withdrawal, %, I, 13.04
Ecuador, Not treated municipal wastewater, 10^9 m3/year, I, 0.47
Ecuador, Produced municipal wastewater, 10^9 m3/year, I, 0.46
Ecuador, SDG 6.4.1. Industrial Water Use Efficiency, US$/m3, E, 51.76
Ecuador, SDG 6.4.1. Irrigated Agriculture Water Use Efficiency, US$/m3, E, 0.63
Ecuador, SDG 6.4.1. Services Water Use Efficiency, US$/m3, E, 39.44
Ecuador, SDG 6.4.1. Water Use Efficiency, US$/m3, I, 8.52
Ecuador, SDG 6.4.2. Water Stress, %, E, 6.78
Ecuador, Total freshwater withdrawal, 10^9 m3/year, I, 9.92
Ecuador, Total water withdrawal, 10^9 m3/year, I, 9.92
Ecuador, Total water withdrawal per capita, m3/inhab/year, E, 562.15
Ecuador, Treated municipal wastewater, 10^9 m3/year, I, 0.16
Egypt, Agricultural water withdrawal, 10^9 m3/year, I, 61.35
Egypt, Agricultural water withdrawal as % of total renewable water resources, %, I, 106.7
Egypt, Agricultural water withdrawal as % of total water withdrawal, %, I, 79.16
Egypt, Area equipped for irrigation by direct use of treated municipal wastewater, 1000 ha, I, 35.5
Egypt, Capacity of the municipal wastewater treatment facilities, 10^9 m3/year, I, 4.75
Egypt, Collected municipal wastewater, 10^9 m3/year, I, 6.5
Egypt, Desalinated water produced, 10^9 m3/year, I, 0.2
Egypt, Direct use of agricultural drainage water, 10^9 m3/year, I, 11.9
Egypt, Direct use of treated municipal wastewater, 10^9 m3/year, I, 1.2
Egypt, Direct use of treated municipal wastewater for irrigation purposes, 10^9 m3/year, I, 0.29
Egypt, Environmental Flow Requirements, 10^9 m3/year, I, 2.6
Egypt, Fresh groundwater withdrawal, 10^9 m3/year, I, 6.5
Egypt, Industrial water withdrawal, 10^9 m3/year, I, 5.4
Egypt, Industrial water withdrawal as % of total water withdrawal, %, I, 6.97
Egypt, Irrigation water requirement, 10^9 m3/year, I, 45.11
Egypt, MDG 7.5. Freshwater withdrawal as % of total renewable water resources, %, I, 134.78
Egypt, Municipal water withdrawal, 10^9 m3/year, I, 10.75
Egypt, Municipal water withdrawal as % of total withdrawal, %, I, 13.87
Egypt, Not treated municipal wastewater, 10^9 m3/year, I, 3.06
Egypt, Not treated municipal wastewater discharged (secondary water), 10^9 m3/year, I, 1
Egypt, Number of municipal wastewater treatment facilities, , I, 382
Egypt, Produced municipal wastewater, 10^9 m3/year, I, 7.08
Egypt, SDG 6.4.1. Industrial Water Use Efficiency, US$/m3, E, 21.83
Egypt, SDG 6.4.1. Irrigated Agriculture Water Use Efficiency, US$/m3, E, 0.75
Egypt, SDG 6.4.1. Services Water Use Efficiency, US$/m3, E, 19.91
